Title,Minutes Played,Hours Played,Release Date,Developers,Publishers,Metascore
Rocket League,32063,534.39,7-Jul-15,"Psyonix,                                                                       Psyonix, Inc.","Psyonix,                                                                       Psyonix, Inc.",86
Counter-Strike: Global Offensive,17033,283.89,21-Aug-12,Valve,Valve,83
Bastion,11596,193.27,16-Aug-11,Supergiant Games,Warner Bros. Interactive Entertainment,86
PAYDAY 2,7332,122.2,13-Aug-13,OVERKILL - a Starbreeze Studio.,"505 Games,                                                                       Starbreeze Publishing AB",79
PLAYERUNKNOWN'S BATTLEGROUNDS,6748,112.47,21-Dec-17,"Bluehole, Inc.,                                                                       PUBG Corporation","Bluehole, Inc. ,                                                                       PUBG Corporation",86
Sid Meier's Civilization V,6422,107.04,21-Sep-10,"Firaxis Games,                                                                       Aspyr (Mac, Linux),                                                                       Aspyr (Mac),                                                                       Aspyr (Linux)","2K Games,                                                                       Aspyr (Mac, Linux),                                                                       2K,                                                                       Aspyr (Mac),                                                                       Aspyr (Linux)",90
Stardew Valley,6056,100.94,26-Feb-16,ConcernedApe,Chucklefish,89
The Elder Scrolls V: Skyrim,4849,80.82,10-Nov-11,Bethesda Game Studios,Bethesda Softworks,94
Starbound,4749,79.16,22-Jul-16,Chucklefish,",                                                                       Chucklefish",81
Rust,4634,77.24,8-Feb-18,Facepunch Studios,Facepunch Studios,69
NBA 2K15,3272,54.54,6-Oct-14,Visual Concepts,2K,
The Witcher 3: Wild Hunt,3207,53.45,18-May-15,CD PROJEKT RED,CD PROJEKT RED,93
Sid Meier's Civilization VI,3141,52.35,20-Oct-16,"Firaxis,                                                                       Aspyr (Mac),                                                                       Aspyr (Mac, Linux),                                                                       Firaxis Games,                                                                       Aspyr (Linux)","2K,                                                                       Aspyr (Mac),                                                                       Aspyr (Mac, Linux),                                                                       Aspyr (Linux)",88
Borderlands 2,2927,48.79,18-Sep-12,"Gearbox Software,                                                                       Aspyr (Mac & Linux),                                                                       Aspyr (Mac),                                                                       Aspyr (Linux)","2K Games,                                                                       Aspyr (Mac & Linux),                                                                       2K,                                                                       Aspyr (Mac),                                                                       Aspyr (Linux)",89
Amnesia: The Dark Descent,2649,44.15,8-Sep-10,Frictional Games,Frictional Games,85
Team Fortress 2,2603,43.39,10-Oct-07,Valve,Valve,92
